# Gboard Dictionary version:2
# Gboard Dictionary format:shortcut	word	language_tag	pos_tag
	American	in-ID	
	Brown	in-ID	
	Christian	in-ID	
	Congress	in-ID	
	Doctor	in-ID	
	England	in-ID	
	English	in-ID	
	Europe	in-ID	
	French	in-ID	
	God	in-ID	
	John	in-ID	
	Mister	in-ID	
	Mrs.	in-ID	
	U.S.	in-ID	
	able	in-ID	
	about	in-ID	
	above	in-ID	
	accept	in-ID	
	according	in-ID	
	account	in-ID	
	achieve	in-ID	
	across	in-ID	
	act	in-ID	
	action	in-ID	
	actually	in-ID	
	add	in-ID	
	addition	in-ID	
	administration	in-ID	
	affair	in-ID	
	after	in-ID	
	afternoon	in-ID	
	again	in-ID	
	against	in-ID	
	age	in-ID	
	agency	in-ID	
	ago	in-ID	
	agree	in-ID	
	agreement	in-ID	
	aid	in-ID	
	air	in-ID	
	all	in-ID	
	allow	in-ID	
	almost	in-ID	
	alone	in-ID	
	along	in-ID	
	already	in-ID	
	also	in-ID	
	although	in-ID	
	always	in-ID	
	among	in-ID	
	amount	in-ID	
	analysis	in-ID	
	and	in-ID	
	animal	in-ID	
	announce	in-ID	
	another	in-ID	
	answer	in-ID	
	any	in-ID	
	anyone	in-ID	
	anything	in-ID	
	apparently	in-ID	
	appear	in-ID	
	apply	in-ID	
	approach	in-ID	
	area	in-ID	
	arm	in-ID	
	army	in-ID	
	around	in-ID	
	art	in-ID	
	artist	in-ID	
	ask	in-ID	
	association	in-ID	
	assume	in-ID	
	attend	in-ID	
	attention	in-ID	
	attitude	in-ID	
	audience	in-ID	
	authority	in-ID	
	available	in-ID	
	away	in-ID	
	back	in-ID	
	bad	in-ID	
	ball	in-ID	
	bank	in-ID	
	bar	in-ID	
	base	in-ID	
	basic	in-ID	
	basis	in-ID	
	bear	in-ID	
	beautiful	in-ID	
	because	in-ID	
	become	in-ID	
	bed	in-ID	
	before	in-ID	
	begin	in-ID	
	behind	in-ID	
	believe	in-ID	
	best	in-ID	
	better	in-ID	
	between	in-ID	
	beyond	in-ID	
	big	in-ID	
	bill	in-ID	
bs	bisa	in-ID	
	black	in-ID	
	board	in-ID	
	boat	in-ID	
	body	in-ID	
	book	in-ID	
	both	in-ID	
	boy	in-ID	
	break	in-ID	
	bring	in-ID	
	brother	in-ID	
	build	in-ID	
	building	in-ID	
	business	in-ID	
	but	in-ID	
	buy	in-ID	
	call	in-ID	
	can	in-ID	
	captain	in-ID	
	car	in-ID	
	care	in-ID	
	carry	in-ID	
	case	in-ID	
	catch	in-ID	
	cause	in-ID	
	cell	in-ID	
	cent	in-ID	
	center	in-ID	
	central	in-ID	
	century	in-ID	
	certain	in-ID	
	certainly	in-ID	
	chance	in-ID	
	change	in-ID	
	character	in-ID	
	charge	in-ID	
	child	in-ID	
	choice	in-ID	
	choose	in-ID	
	church	in-ID	
	citizen	in-ID	
	city	in-ID	
	claim	in-ID	
	class	in-ID	
	clear	in-ID	
	close	in-ID	
	club	in-ID	
	cold	in-ID	
	college	in-ID	
	color	in-ID	
	come	in-ID	
	commission	in-ID	
	committee	in-ID	
	common	in-ID	
	community	in-ID	
	company	in-ID	
	compare	in-ID	
	complete	in-ID	
	concern	in-ID	
	condition	in-ID	
	conference	in-ID	
	consider	in-ID	
	contain	in-ID	
	continue	in-ID	
	contribute	in-ID	
	control	in-ID	
	corner	in-ID	
	cost	in-ID	
	could	in-ID	
	country	in-ID	
	county	in-ID	
	couple	in-ID	
	course	in-ID	
	court	in-ID	
	cover	in-ID	
	create	in-ID	
	cut	in-ID	
	dark	in-ID	
	date	in-ID	
	datum	in-ID	
	day	in-ID	
	dead	in-ID	
	deal	in-ID	
	death	in-ID	
	decide	in-ID	
	decision	in-ID	
	defense	in-ID	
	demand	in-ID	
	democratic	in-ID	
	department	in-ID	
	describe	in-ID	
	design	in-ID	
	detail	in-ID	
	determine	in-ID	
	develop	in-ID	
	development	in-ID	
	die	in-ID	
	difference	in-ID	
	different	in-ID	
	difficult	in-ID	
	difficulty	in-ID	
	direct	in-ID	
	direction	in-ID	
	directly	in-ID	
	director	in-ID	
	disagree	in-ID	
	discover	in-ID	
	discuss	in-ID	
	discussion	in-ID	
	distance	in-ID	
	district	in-ID	
	division	in-ID	
	dog	in-ID	
	dollar	in-ID	
	door	in-ID	
	down	in-ID	
	draw	in-ID	
	drive	in-ID	
	drop	in-ID	
	during	in-ID	
	each	in-ID	
	early	in-ID	
	earth	in-ID	
	easy	in-ID	
	eat	in-ID	
	economic	in-ID	
	edge	in-ID	
	effect	in-ID	
	effective	in-ID	
	effort	in-ID	
	either	in-ID	
	election	in-ID	
	element	in-ID	
	else	in-ID	
	employee	in-ID	
	end	in-ID	
	enemy	in-ID	
	enjoy	in-ID	
	enough	in-ID	
	enter	in-ID	
	entire	in-ID	
	equipment	in-ID	
	especially	in-ID	
	establish	in-ID	
	even	in-ID	
	evening	in-ID	
	event	in-ID	
	ever	in-ID	
	every	in-ID	
	everything	in-ID	
	evidence	in-ID	
	example	in-ID	
	except	in-ID	
	exist	in-ID	
	expect	in-ID	
	experience	in-ID	
	experiment	in-ID	
	explain	in-ID	
	express	in-ID	
	extend	in-ID	
	eye	in-ID	
	face	in-ID	
	facility	in-ID	
	fact	in-ID	
	factor	in-ID	
	fail	in-ID	
	faith	in-ID	
	fall	in-ID	
	family	in-ID	
	far	in-ID	
	farm	in-ID	
	father	in-ID	
	fear	in-ID	
	federal	in-ID	
	feed	in-ID	
	feel	in-ID	
	feeling	in-ID	
	few	in-ID	
	field	in-ID	
	fight	in-ID	
	figure	in-ID	
	fill	in-ID	
	final	in-ID	
	finally	in-ID	
	find	in-ID	
	fine	in-ID	
	finger	in-ID	
	finish	in-ID	
	fire	in-ID	
	firm	in-ID	
	first	in-ID	
	fiscal	in-ID	
	five	in-ID	
	fix	in-ID	
	floor	in-ID	
	follow	in-ID	
	food	in-ID	
	foot	in-ID	
	for	in-ID	
	force	in-ID	
	foreign	in-ID	
	forget	in-ID	
	form	in-ID	
	former	in-ID	
	four	in-ID	
	free	in-ID	
	freedom	in-ID	
	friend	in-ID	
	from	in-ID	
	front	in-ID	
	full	in-ID	
	function	in-ID	
	fund	in-ID	
	future	in-ID	
	game	in-ID	
	gas	in-ID	
	general	in-ID	
	generally	in-ID	
	get	in-ID	
	girl	in-ID	
	give	in-ID	
	glass	in-ID	
	good	in-ID	
	government	in-ID	
	governor	in-ID	
	great	in-ID	
	greater	in-ID	
	ground	in-ID	
	group	in-ID	
	grow	in-ID	
	growth	in-ID	
	gun	in-ID	
	hair	in-ID	
	half	in-ID	
	hall	in-ID	
	hand	in-ID	
	hang	in-ID	
	happen	in-ID	
	hard	in-ID	
	have	in-ID	
	head	in-ID	
	hear	in-ID	
	heart	in-ID	
	help	in-ID	
	here	in-ID	
	herself	in-ID	
	high	in-ID	
	higher	in-ID	
	hill	in-ID	
	himself	in-ID	
	history	in-ID	
	hit	in-ID	
	hold	in-ID	
	home	in-ID	
	hope	in-ID	
	horse	in-ID	
	hospital	in-ID	
	hot	in-ID	
	hotel	in-ID	
	hour	in-ID	
	house	in-ID	
	how	in-ID	
	however	in-ID	
	human	in-ID	
	hundred	in-ID	
	husband	in-ID	
	idea	in-ID	
	image	in-ID	
	immediately	in-ID	
	importance	in-ID	
	important	in-ID	
	improve	in-ID	
	inch	in-ID	
	include	in-ID	
	including	in-ID	
	increase	in-ID	
	indeed	in-ID	
	indicate	in-ID	
	individual	in-ID	
	industrial	in-ID	
	influence	in-ID	
	information	in-ID	
	instance	in-ID	
	instead	in-ID	
	institution	in-ID	
	interact	in-ID	
	interest	in-ID	
	international	in-ID	
	into	in-ID	
	involve	in-ID	
	issue	in-ID	
	item	in-ID	
	itself	in-ID	
	job	in-ID	
	join	in-ID	
	just	in-ID	
	keep	in-ID	
	kid	in-ID	
	kill	in-ID	
	kind	in-ID	
kalo	klo	in-ID	
